iter	Passed	Remaining
0	0	379
1	0	287
2	0	269
3	1	250
4	1	238
5	1	230
6	1	223
7	1	217
8	1	217
9	2	217
10	2	217
11	2	214
12	2	211
13	2	210
14	3	208
15	3	207
16	3	206
17	3	205
18	3	204
19	4	203
20	4	202
21	4	200
22	4	199
23	4	198
24	5	197
25	5	196
26	5	196
27	5	195
28	5	194
29	6	196
30	6	195
31	6	194
32	6	193
33	6	192
34	6	191
35	7	190
36	7	189
37	7	188
38	7	188
39	7	187
40	7	186
41	8	186
42	8	185
43	8	185
44	8	184
45	8	184
46	9	183
47	9	182
48	9	182
49	9	182
50	9	181
51	9	181
52	10	180
53	10	180
54	10	179
55	10	179
56	10	179
57	10	178
58	11	178
59	11	177
60	11	177
61	11	176
62	11	176
63	12	176
64	12	176
65	12	176
66	12	176
67	12	175
68	12	175
69	13	174
70	13	174
71	13	174
72	13	173
73	13	173
74	14	172
75	14	172
76	14	172
77	14	171
78	14	171
79	14	171
80	15	170
81	15	170
82	15	170
83	15	169
84	15	169
85	15	169
86	16	169
87	16	168
88	16	168
89	16	168
90	16	168
91	17	167
92	17	167
93	17	167
94	17	167
95	17	166
96	17	166
97	18	166
98	18	165
99	18	165
100	18	165
101	18	165
102	18	164
103	19	164
104	19	164
105	19	164
106	19	163
107	19	163
108	19	163
109	20	163
110	20	162
111	20	162
112	20	162
113	20	162
114	21	161
115	21	161
116	21	161
117	21	161
118	21	160
119	21	160
120	22	160
121	22	160
122	22	159
123	22	159
124	22	159
125	22	159
126	23	159
127	23	158
128	23	158
129	23	158
130	23	158
131	24	157
132	24	157
133	24	157
134	24	157
135	24	157
136	24	156
137	25	156
138	25	156
139	25	156
140	25	156
141	25	155
142	25	155
143	26	155
144	26	155
145	26	155
146	26	154
147	26	154
148	27	154
149	27	154
150	27	153
151	27	153
152	27	153
153	27	153
154	28	153
155	28	152
156	28	152
157	28	152
158	28	152
159	28	152
160	29	151
161	29	151
162	29	151
163	29	151
164	29	151
165	30	150
166	30	150
167	30	150
168	30	150
169	30	150
170	30	149
171	31	149
172	31	149
173	31	149
174	31	148
175	31	148
176	31	148
177	32	148
178	32	148
179	32	147
180	32	147
181	32	147
182	32	147
183	33	147
184	33	146
185	33	146
186	33	146
187	33	146
188	34	146
189	34	145
190	34	145
191	34	145
192	34	145
193	34	145
194	35	144
195	35	144
196	35	144
197	35	144
198	35	144
199	35	143
200	36	143
201	36	143
202	36	143
203	36	143
204	36	142
205	37	142
206	37	142
207	37	142
208	37	142
